facility_id,facility_name,state,dashboard_measure_group,favorable_percent,survey_weight,included_rows,excluded_rows
100002,BETHESDA HOSPITAL EAST,FL,Recommendation,60.00,1044,1,0
100002,BETHESDA HOSPITAL EAST,FL,Overall Rating,59.00,1044,1,0
100002,BETHESDA HOSPITAL EAST,FL,Medicine Communication,51.67,3132,3,0
100168,BOCA RATON REGIONAL HOSPITAL,FL,Discharge Information,81.67,3012,3,0
100168,BOCA RATON REGIONAL HOSPITAL,FL,Nurse Communication,70.25,4016,4,0
100168,BOCA RATON REGIONAL HOSPITAL,FL,Doctor Communication,73.25,4016,4,0
100168,BOCA RATON REGIONAL HOSPITAL,FL,Recommendation,64.00,1004,1,0
100168,BOCA RATON REGIONAL HOSPITAL,FL,Overall Rating,61.00,1004,1,0
100168,BOCA RATON REGIONAL HOSPITAL,FL,Medicine Communication,50.00,3012,3,0
100276,BROWARD HEALTH CORAL SPRINGS,FL,Discharge Information,80.33,1944,3,0
100276,BROWARD HEALTH CORAL SPRINGS,FL,Nurse Communication,74.50,2592,4,0
100276,BROWARD HEALTH CORAL SPRINGS,FL,Doctor Communication,74.75,2592,4,0
100276,BROWARD HEALTH CORAL SPRINGS,FL,Recommendation,72.00,648,1,0
100276,BROWARD HEALTH CORAL SPRINGS,FL,Overall Rating,71.00,648,1,0
100276,BROWARD HEALTH CORAL SPRINGS,FL,Medicine Communication,54.00,1944,3,0
100200,BROWARD HEALTH IMPERIAL POINT,FL,Discharge Information,76.67,1245,3,0
100200,BROWARD HEALTH IMPERIAL POINT,FL,Nurse Communication,70.75,1660,4,0
100200,BROWARD HEALTH IMPERIAL POINT,FL,Doctor Communication,74.75,1660,4,0
100200,BROWARD HEALTH IMPERIAL POINT,FL,Recommendation,72.00,415,1,0
100200,BROWARD HEALTH IMPERIAL POINT,FL,Overall Rating,68.00,415,1,0
100200,BROWARD HEALTH IMPERIAL POINT,FL,Medicine Communication,52.33,1245,3,0
100039,BROWARD HEALTH MEDICAL CENTER,FL,Discharge Information,81.00,2571,3,0
100039,BROWARD HEALTH MEDICAL CENTER,FL,Nurse Communication,71.25,3428,4,0
100039,BROWARD HEALTH MEDICAL CENTER,FL,Doctor Communication,71.00,3428,4,0
100039,BROWARD HEALTH MEDICAL CENTER,FL,Recommendation,63.00,857,1,0
100039,BROWARD HEALTH MEDICAL CENTER,FL,Overall Rating,63.00,857,1,0
100039,BROWARD HEALTH MEDICAL CENTER,FL,Medicine Communication,54.67,2571,3,0
100086,BROWARD HEALTH NORTH,FL,Discharge Information,80.00,1977,3,0
100086,BROWARD HEALTH NORTH,FL,Nurse Communication,72.50,2636,4,0
100086,BROWARD HEALTH NORTH,FL,Doctor Communication,70.75,2636,4,0
100086,BROWARD HEALTH NORTH,FL,Recommendation,65.00,659,1,0
100086,BROWARD HEALTH NORTH,FL,Overall Rating,66.00,659,1,0
