facility_id,facility_name,category,weighted_favorable_percent,response_count,response_rate_context,florida_category_average,difference_from_florida_average
100008,BAPTIST HOSPITAL OF MIAMI,Recommendation,74.00,1090,17.00,70.01,3.99
100008,BAPTIST HOSPITAL OF MIAMI,Overall Rating,71.00,1090,17.00,69.07,1.93
100008,BAPTIST HOSPITAL OF MIAMI,Medicine Communication,60.00,3270,17.00,58.01,1.99
100117,BAPTIST MEDICAL CENTER  BEACHES,Discharge Information,86.00,1779,23.00,84.27,1.73
100117,BAPTIST MEDICAL CENTER  BEACHES,Nurse Communication,80.75,2372,23.00,76.39,4.36
100117,BAPTIST MEDICAL CENTER  BEACHES,Doctor Communication,79.25,2372,23.00,74.82,4.43
100117,BAPTIST MEDICAL CENTER  BEACHES,Recommendation,83.00,593,23.00,70.01,12.99
100117,BAPTIST MEDICAL CENTER  BEACHES,Overall Rating,79.00,593,23.00,69.07,9.93
100117,BAPTIST MEDICAL CENTER  BEACHES,Medicine Communication,64.00,1779,23.00,58.01,5.99
100140,BAPTIST MEDICAL CENTER - NASSAU,Discharge Information,83.00,1161,24.00,84.27,-1.27
100140,BAPTIST MEDICAL CENTER - NASSAU,Nurse Communication,77.75,1548,24.00,76.39,1.36
100140,BAPTIST MEDICAL CENTER - NASSAU,Doctor Communication,79.50,1548,24.00,74.82,4.68
100140,BAPTIST MEDICAL CENTER - NASSAU,Recommendation,77.00,387,24.00,70.01,6.99
100140,BAPTIST MEDICAL CENTER - NASSAU,Overall Rating,79.00,387,24.00,69.07,9.93
100140,BAPTIST MEDICAL CENTER - NASSAU,Medicine Communication,58.33,1161,24.00,58.01,0.32
100121,BARTOW REGIONAL MEDICAL CENTER,Discharge Information,84.00,1683,17.00,84.27,-0.27
100121,BARTOW REGIONAL MEDICAL CENTER,Nurse Communication,76.75,2244,17.00,76.39,0.36
100121,BARTOW REGIONAL MEDICAL CENTER,Doctor Communication,71.25,2244,17.00,74.82,-3.57
100121,BARTOW REGIONAL MEDICAL CENTER,Recommendation,67.00,561,17.00,70.01,-3.01
100121,BARTOW REGIONAL MEDICAL CENTER,Overall Rating,70.00,561,17.00,69.07,0.93
100121,BARTOW REGIONAL MEDICAL CENTER,Medicine Communication,61.67,1683,17.00,58.01,3.66
10009F,BAY PINES VA MEDICAL CENTER,Discharge Information,85.67,1458,36.00,84.27,1.40
10009F,BAY PINES VA MEDICAL CENTER,Nurse Communication,83.50,1944,36.00,76.39,7.11
10009F,BAY PINES VA MEDICAL CENTER,Doctor Communication,79.50,1944,36.00,74.82,4.68
10009F,BAY PINES VA MEDICAL CENTER,Recommendation,77.00,486,36.00,70.01,6.99
10009F,BAY PINES VA MEDICAL CENTER,Overall Rating,78.00,486,36.00,69.07,8.93
10009F,BAY PINES VA MEDICAL CENTER,Medicine Communication,68.33,1458,36.00,58.01,10.32
100362,BAYCARE HOSPITAL WESLEY CHAPEL,Discharge Information,85.00,1167,16.00,84.27,0.73
100362,BAYCARE HOSPITAL WESLEY CHAPEL,Nurse Communication,81.00,1556,16.00,76.39,4.61
100362,BAYCARE HOSPITAL WESLEY CHAPEL,Doctor Communication,77.75,1556,16.00,74.82,2.93
100362,BAYCARE HOSPITAL WESLEY CHAPEL,Recommendation,82.00,389,16.00,70.01,11.99
100362,BAYCARE HOSPITAL WESLEY CHAPEL,Overall Rating,82.00,389,16.00,69.07,12.93
100362,BAYCARE HOSPITAL WESLEY CHAPEL,Medicine Communication,59.00,1167,16.00,58.01,0.99
100002,BETHESDA HOSPITAL EAST,Discharge Information,79.33,3132,20.00,84.27,-4.94
100002,BETHESDA HOSPITAL EAST,Nurse Communication,66.75,4176,20.00,76.39,-9.64
100002,BETHESDA HOSPITAL EAST,Doctor Communication,67.50,4176,20.00,74.82,-7.32
100002,BETHESDA HOSPITAL EAST,Recommendation,60.00,1044,20.00,70.01,-10.01
100002,BETHESDA HOSPITAL EAST,Overall Rating,59.00,1044,20.00,69.07,-10.07
100002,BETHESDA HOSPITAL EAST,Medicine Communication,51.67,3132,20.00,58.01,-6.34
100168,BOCA RATON REGIONAL HOSPITAL,Discharge Information,81.67,3012,24.00,84.27,-2.60
100168,BOCA RATON REGIONAL HOSPITAL,Nurse Communication,70.25,4016,24.00,76.39,-6.14
100168,BOCA RATON REGIONAL HOSPITAL,Doctor Communication,73.25,4016,24.00,74.82,-1.57
100168,BOCA RATON REGIONAL HOSPITAL,Recommendation,64.00,1004,24.00,70.01,-6.01
100168,BOCA RATON REGIONAL HOSPITAL,Overall Rating,61.00,1004,24.00,69.07,-8.07
100168,BOCA RATON REGIONAL HOSPITAL,Medicine Communication,50.00,3012,24.00,58.01,-8.01
100276,BROWARD HEALTH CORAL SPRINGS,Discharge Information,80.33,1944,16.00,84.27,-3.94
100276,BROWARD HEALTH CORAL SPRINGS,Nurse Communication,74.50,2592,16.00,76.39,-1.89
100276,BROWARD HEALTH CORAL SPRINGS,Doctor Communication,74.75,2592,16.00,74.82,-0.07
100276,BROWARD HEALTH CORAL SPRINGS,Recommendation,72.00,648,16.00,70.01,1.99
100276,BROWARD HEALTH CORAL SPRINGS,Overall Rating,71.00,648,16.00,69.07,1.93
100276,BROWARD HEALTH CORAL SPRINGS,Medicine Communication,54.00,1944,16.00,58.01,-4.01
100200,BROWARD HEALTH IMPERIAL POINT,Discharge Information,76.67,1245,15.00,84.27,-7.60
100200,BROWARD HEALTH IMPERIAL POINT,Nurse Communication,70.75,1660,15.00,76.39,-5.64
100200,BROWARD HEALTH IMPERIAL POINT,Doctor Communication,74.75,1660,15.00,74.82,-0.07
100200,BROWARD HEALTH IMPERIAL POINT,Recommendation,72.00,415,15.00,70.01,1.99
100200,BROWARD HEALTH IMPERIAL POINT,Overall Rating,68.00,415,15.00,69.07,-1.07
100200,BROWARD HEALTH IMPERIAL POINT,Medicine Communication,52.33,1245,15.00,58.01,-5.68
100039,BROWARD HEALTH MEDICAL CENTER,Discharge Information,81.00,2571,12.00,84.27,-3.27
100039,BROWARD HEALTH MEDICAL CENTER,Nurse Communication,71.25,3428,12.00,76.39,-5.14
100039,BROWARD HEALTH MEDICAL CENTER,Doctor Communication,71.00,3428,12.00,74.82,-3.82
100039,BROWARD HEALTH MEDICAL CENTER,Recommendation,63.00,857,12.00,70.01,-7.01
100039,BROWARD HEALTH MEDICAL CENTER,Overall Rating,63.00,857,12.00,69.07,-6.07
100039,BROWARD HEALTH MEDICAL CENTER,Medicine Communication,54.67,2571,12.00,58.01,-3.34
100086,BROWARD HEALTH NORTH,Discharge Information,80.00,1977,16.00,84.27,-4.27
100086,BROWARD HEALTH NORTH,Nurse Communication,72.50,2636,16.00,76.39,-3.89
100086,BROWARD HEALTH NORTH,Doctor Communication,70.75,2636,16.00,74.82,-4.07
100086,BROWARD HEALTH NORTH,Recommendation,65.00,659,16.00,70.01,-5.01
100086,BROWARD HEALTH NORTH,Overall Rating,66.00,659,16.00,69.07,-3.07
100086,BROWARD HEALTH NORTH,Medicine Communication,55.00,1977,16.00,58.01,-3.01
101304,CALHOUN-LIBERTY HOSPITAL,Discharge Information,,0,,84.27,
101304,CALHOUN-LIBERTY HOSPITAL,Nurse Communication,,0,,76.39,
101304,CALHOUN-LIBERTY HOSPITAL,Doctor Communication,,0,,74.82,
101304,CALHOUN-LIBERTY HOSPITAL,Recommendation,,0,,70.01,
101304,CALHOUN-LIBERTY HOSPITAL,Overall Rating,,0,,69.07,
101304,CALHOUN-LIBERTY HOSPITAL,Medicine Communication,,0,,58.01,
100177,CAPE CANAVERAL HOSPITAL,Discharge Information,82.33,1569,26.00,84.27,-1.94
100177,CAPE CANAVERAL HOSPITAL,Nurse Communication,76.75,2092,26.00,76.39,0.36
100177,CAPE CANAVERAL HOSPITAL,Doctor Communication,73.75,2092,26.00,74.82,-1.07
100177,CAPE CANAVERAL HOSPITAL,Recommendation,70.00,523,26.00,70.01,-0.01
100177,CAPE CANAVERAL HOSPITAL,Overall Rating,66.00,523,26.00,69.07,-3.07
100177,CAPE CANAVERAL HOSPITAL,Medicine Communication,60.33,1569,26.00,58.01,2.32
100244,CAPE CORAL HOSPITAL,Discharge Information,87.00,6024,40.00,84.27,2.73
100244,CAPE CORAL HOSPITAL,Nurse Communication,76.75,8032,40.00,76.39,0.36
100244,CAPE CORAL HOSPITAL,Doctor Communication,73.75,8032,40.00,74.82,-1.07
100244,CAPE CORAL HOSPITAL,Recommendation,70.00,2008,40.00,70.01,-0.01
100244,CAPE CORAL HOSPITAL,Overall Rating,68.00,2008,40.00,69.07,-1.07
100244,CAPE CORAL HOSPITAL,Medicine Communication,55.33,6024,40.00,58.01,-2.68
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,Discharge Information,78.00,1995,18.00,84.27,-6.27
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,Nurse Communication,67.75,2660,18.00,76.39,-8.64
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,Doctor Communication,67.00,2660,18.00,74.82,-7.82
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,Recommendation,54.00,665,18.00,70.01,-16.01
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,Overall Rating,59.00,665,18.00,69.07,-10.07
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,Medicine Communication,50.00,1995,18.00,58.01,-8.01
100289,CLEVELAND CLINIC HOSPITAL,Discharge Information,86.00,3294,19.00,84.27,1.73
100289,CLEVELAND CLINIC HOSPITAL,Nurse Communication,77.25,4392,19.00,76.39,0.86
100289,CLEVELAND CLINIC HOSPITAL,Doctor Communication,80.25,4392,19.00,74.82,5.43
100289,CLEVELAND CLINIC HOSPITAL,Recommendation,80.00,1098,19.00,70.01,9.99
100289,CLEVELAND CLINIC HOSPITAL,Overall Rating,77.00,1098,19.00,69.07,7.93
100289,CLEVELAND CLINIC HOSPITAL,Medicine Communication,59.33,3294,19.00,58.01,1.32
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,Discharge Information,83.00,5235,23.00,84.27,-1.27
